,Barrels,Number of Breweries,Total Barrels,Taxable Removals,Total Exported,Year
117,"15,001 to 30,000 Barrels",102,2124238.48,1871360.0399999996,15417.41,2018
118,"7,501 to 15,000 Barrels",155,1618340.3800000008,1406728.1200000003,3983.17,2018
119,"1,001 to 7,500 Barrels",1132,3058297.9499999965,2641714.4900000007,2588.08,2018
120,"1 to 1,000 Barrels",4241,1238268.8999999994,1169873.6800000034,2299.59,2018
122,"6,000,001 Barrels and Over",15,125788474.04,116321254.52,4208092.09,2019
123,"2,000,000 to 6,000,000 Barrels",6,18344022.83,18575155.74,495136.04,2019
124,"1,000,001 to 1,999,999 Barrels",5,6058176.3,6223929.3,2059.29,2019
125,"500,001 to 1,000,000 Barrels",12,7585071.9,5979731.09,137599.12,2019
126,"100,001 to 500,000 Barrels",42,8373874.82,7139034.688,80432.04,2019
127,"60,001 to 100,000 Barrels",33,2575065.63,2225453.43,67048.57,2019
128,"30,001 to 60,000 Barrels",64,2675606.37,2906735.837,39494.304,2019
129,"15,001 to 30,000 Barrels",102,2166277.84,1891960.763,23889.97,2019
130,"7,501 to 15,000 Barrels",159,1680544.748,1484609.204,3115.68,2019
131,"1,001 to 7,500 Barrels",1183,3151130.255,2901015.17,7509.29,2019
